212368940335243267	32171756	Tue Jun 12 02:21:15 +0000 2012			<a href="http://www.motorola.com" rel="nofollow">DROID</a>	false		Arizona	.@allysonrobinson honored in SLDN's #30DaysofPride http://t.co/ttEeXvAL #girlslikeus #trans #welldeserved	Abby Jensen
212409759326941184	16421477	Tue Jun 12 05:03:27 +0000 2012			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		San Diego, California	Love it too! RT @coslive Against Me! &amp; Joan Jett cover The Replacements' "Androgynous" http://t.co/Or9Pqm7R cc @hilahil #trans #girlslikeus	Autumn Sandeen
212410493317558273	16421477	Tue Jun 12 05:06:22 +0000 2012			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		San Diego, California	RT @FlamingDiva: Do me a favor. Starting today, tell two of your friends and #GirlsLikeUs everyday about #TU4O http://t.co/gav5uSd9...	Autumn Sandeen
212412603375419392	16421477	Tue Jun 12 05:14:45 +0000 2012			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		San Diego, California	RT @tonidorsay: #trans #transgender #lgbt #Arizona Phoenix Trans Resource Guide PDFnow available: http://t.co/UMe3lWV9 #girlslikeus	Autumn Sandeen
212439383939362817	16259172	Tue Jun 12 07:01:10 +0000 2012			<a href="http://www.socialflow.com" rel="nofollow">SocialFlow</a>	false		ÜT: 34.040181,-118.270504	Death Sentence? The Public Perception of Transgender Women of Color http://t.co/o01Pw0sx cc: @janetmock #LGBT #GirlsLikeUs	TheLoop21
212575912607236099	390048078	Tue Jun 12 16:03:41 +0000 2012			web	false		istanbul	RT @MissUSA: RT @ddipasupil: Thx for your support of the #transgender community, @MissUSA 2012 Olivia Culpo! #girlslikeus @ Capitale htt ...	özkan çelik
212590123093733379	18924291	Tue Jun 12 17:00:09 +0000 2012			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Manhattan via Oahu	.@ebonymag amplifies voices of #girlslikeus via @marclamonthill piece, "Why Aren't We Fighting for #FreeCeCe McDonald?" http://t.co/tXYjFy50	Janet Mock
212593432126947328	427136325	Tue Jun 12 17:13:18 +0000 2012			<a href="http://app.net/mypad" rel="nofollow">MyPad for iOS (iPad)</a>	false		Biloxi, MS	RT @janetmock: .@ebonymag amplifies voices of #girlslikeus via @marclamonthill piece, "Why Aren't We Fighting for #FreeCeCe McDonald?" h ...	DefragDoll
212602009579307008	16224459	Tue Jun 12 17:47:23 +0000 2012			web	false		California	RT @TransLawCenter: Recap of our #ENDA live tweets here: http://t.co/XYP31Uq4 #girlslikeus #transgender #lgbt	Equality California
212606535342358529	234914019	Tue Jun 12 18:05:22 +0000 2012			web	false		Canada	Media Portraits: Delegitimation of the Transgendered http://t.co/yLmCgv40 #transgender #girlslikeus #media #follow	Rachel Williams
212675145792360448	18924291	Tue Jun 12 22:38:00 +0000 2012			<a href="http://twitter.com/#!/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Manhattan via Oahu	Three things I'm loving this week: sudoku iPad app, black male writers embracing #girlslikeus as sisters &amp; @thewantedmusic's #gladyoucame.	Janet Mock
