284815341585059840	270458301	Sat Dec 29 00:17:23 +0000 2012			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Pittsburgh, PA	RT @janetmock: Cheeky #girlslikeus RT @rolderik New song by @thejulieruin "Girls Like Us" w vocals by black trans artist Vaginal Davis h ...	Rayden in Queer PGH
284821716943900673	301553799	Sat Dec 29 00:42:43 +0000 2012			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		SF Bay Area	RT @janetmock: Cheeky #girlslikeus RT @rolderik New song by @thejulieruin "Girls Like Us" w vocals by black trans artist Vaginal Davis h ...	Tracy Garza
284827719085219840	105637300	Sat Dec 29 01:06:34 +0000 2012			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Afuera	RT @janetmock: Cheeky #girlslikeus RT @rolderik New song by @thejulieruin "Girls Like Us" w vocals by black trans artist Vaginal Davis h ...	voz
284834811619725312	5865432	Sat Dec 29 01:34:45 +0000 2012			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		iPhone: 37.770004,-122.431610	RT @grishno: Thx @BarackObama for making it easier for #girlslikeus to get passports!!  #Holidays w/ family! http://t.co/zWx0O9na	Masen Davis
284854852138438658	18634831	Sat Dec 29 02:54:23 +0000 2012			<a href="http://instagr.am" rel="nofollow">Instagram</a>	false		ÜT: 43.244273,-87.921308	Check out my #Red #Hot #Sexy date tonight, his name is #Adam #girlslikeus #rock! http://t.co/BbZ8T2Jm	Angelica Ross
284950964295843841	604607829	Sat Dec 29 09:16:18 +0000 2012			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs	It's been a long time since I kept tissues at the side of my bed, but this cold has really wiped me out.	Lisa Quinn
284957444436815872	604607829	Sat Dec 29 09:42:03 +0000 2012	284951493520527360	111856225	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs	@guypeds lol, my humours not quote deserted me yet..	Lisa Quinn
284992487825735680	604607829	Sat Dec 29 12:01:18 +0000 2012			web	false		#GirlsLikeUs	RT @janetmock: Cheeky #girlslikeus RT @rolderik New song by @thejulieruin "Girls Like Us" w vocals by black trans artist Vaginal Davis h ...	Lisa Quinn
285003753998929920	399131171	Sat Dec 29 12:46:04 +0000 2012			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false			RT @grishno: Thx @BarackObama for making it easier for #girlslikeus to get passports!!  #Holidays w/ family! http://t.co/zWx0O9na	@transspouse
285074520367325185	604607829	Sat Dec 29 17:27:16 +0000 2012	285074054237523968	24675155	web	false		#GirlsLikeUs	@MissCassHoskins @tanyabloomfield LOL not just me then that thought that... hahah...	Lisa Quinn
285083219131527168	18634831	Sat Dec 29 18:01:50 +0000 2012	285082916093063169	182500191	<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		ÜT: 43.244273,-87.921308	@SmartAssJen always open to great ideas! #GirlsLikeUs	Angelica Ross
285087765975154689	604607829	Sat Dec 29 18:19:54 +0000 2012	285086726823763968	24675155	web	false		#GirlsLikeUs	@MissCassHoskins @tanyabloomfield Wow that'd be amazing. We'd need waiters in leather shorts though to feed us grapes and pour us champagne.	Lisa Quinn
285096938897039361	604607829	Sat Dec 29 18:56:21 +0000 2012	285095884167983104	47574231	web	false		#GirlsLikeUs	@destroy_time Could it be another 4-3 thriller?	Lisa Quinn
285102508764966912	18924291	Sat Dec 29 19:18:29 +0000 2012			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Manhattan via Oahu	Am live on Sirius @OutQNews station 108 participating in a 2012 Year in Review special with @XorjeO. #lgbt #queer #trans #girlslikeus	Janet Mock
285150286186704896	18924291	Sat Dec 29 22:28:20 +0000 2012	285122160706609153	18634831	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Manhattan via Oahu	@angelicaross we must take the good, the bad and use both to build a better future. I look fwd to doing more work with you for #girlslikeus!	Janet Mock
