297134775775404033	14789882	Fri Feb 01 00:10:25 +0000 2013	297133595854790656	427616106	web	false		Joliet	@nataliereed84 Software developr / minister-in-training (me - grin) #girlslikeus	Cindi Knox
297137728594771968	14720566	Fri Feb 01 00:22:09 +0000 2013	297133595854790656	427616106	web	false			@nataliereed84 Agreed! We are everywhere... doing everything. And kicking ass and chewing bubble gum while we do it. #girlslikeus	amy dobrowolsky
297164085718568960	18924291	Fri Feb 01 02:06:53 +0000 2013	297102500891348992	4175761	<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>	false		Manhattan via Oahu	@MadMelvina smart way to hold prospective employers accountable - esp when you have the privilege of being talented, hire-able. #girlslikeus	Janet Mock
297206762765971456	1082693425	Fri Feb 01 04:56:28 +0000 2013			web	false			Holy shmolies, a new venus envy comic. A real one. #girlslikeus  http://t.co/l1e9i7rs	Dana R.
297341106247565314	604607829	Fri Feb 01 13:50:18 +0000 2013			web	false		#GirlsLikeUs	Popping along to the Loudest Whispers show tonight. http://t.co/eqTwqybo The fab' @victoriacantons and @natachakennedy will be showing off!!	Lisa Quinn
297344566326071296	604607829	Fri Feb 01 14:04:03 +0000 2013	297340712289181696	358715927	web	false		#GirlsLikeUs	@lisasevern So we can phone you with tek problems then? cool! ;) Art show tonight (free) :) Friends band playing a gig Sunday (not free) :(	Lisa Quinn
297365189790138368	33492758	Fri Feb 01 15:26:00 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		NYC	RT @tonacity: Sidney Starr at The Breakfast Club - Power 105.1. Horrible interview with a transwoman #girlslikeus  http://t.co/j90khvin	Brielle Nicole
297370021749985280	604607829	Fri Feb 01 15:45:12 +0000 2013	297367728795291648	115088311	web	false		#GirlsLikeUs	@lilmissmosher I love, love, love that song.... :)	Lisa Quinn
297382432779407360	604607829	Fri Feb 01 16:34:31 +0000 2013	297381508304478209	281806059	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs	@nflux1 Thanks Niki :) xx.	Lisa Quinn
297403517566595072	604607829	Fri Feb 01 17:58:18 +0000 2013			web	false		#GirlsLikeUs	Tom Waites, in full flight 'Way Down In The Hole' http://t.co/Acjo5QiX	Lisa Quinn
297404381484163072	604607829	Fri Feb 01 18:01:44 +0000 2013	297401420414582784	414224773	web	false		#GirlsLikeUs	@IamIzaskun Thanking you sweetie.. :) xx.	Lisa Quinn
297404649961582593	16061378	Fri Feb 01 18:02:48 +0000 2013			<a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>	false		Diablo Valley, California	"The privilege of a lifetime is being who you are." -Joseph Campbell #transgender #girlslikeus  #lgbt	Christa Smith
297455455461064704	20425832	Fri Feb 01 21:24:41 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Phoenix	Part Two on ostracism and harm #wehappytrans #girlslikeus #boyslikeus #trans #transgender #lgbt #glbt http://t.co/2H0y9qPT	Toni D'orsay
297467878922403840	604607829	Fri Feb 01 22:14:03 +0000 2013	297467083388747776	118452931	web	false		#GirlsLikeUs	@digitalben Can I borrow some? One of each ftw..	Lisa Quinn
