321797610623086595	48776401	Wed Apr 10 01:31:43 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Los Angeles, CA	RT @grishno: So this is kind of a #BIGDEAL for #Trans #GirlsLikeUs in #California http://t.co/Sox5azir2V	Kristine Chester
321801636815196160	967033308	Wed Apr 10 01:47:43 +0000 2013	321782688640008193	625904287	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	Pray for me...  Im gonna need it!  ;-). @jeepman1962	CAMI
321803373500301313	967033308	Wed Apr 10 01:54:37 +0000 2013	321794512550756354	16498641	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	Really?   “@Dollardan1: @xoCAMILLAxo Not funny ...really....”	CAMI
321819609399431171	967033308	Wed Apr 10 02:59:08 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	I am an Equal Opportunity Offender!!!!!!!	CAMI
321820415049756673	609707889	Wed Apr 10 03:02:20 +0000 2013			<a href="http://instagram.com" rel="nofollow">Instagram</a>	false		Chicago, IL	Blowing out my eardrums and applying for more jobs. #girlslikeus #chicagolife #lifeismycanvas http://t.co/Vu2yMb69No	#! julia | more
321822482870988801	967033308	Wed Apr 10 03:10:33 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	RT @ReeMURDA: Bet I could make the leaderboard if favstar kept track of the number of tweets nobody gives a shit about.	CAMI
321857370974191616	967033308	Wed Apr 10 05:29:11 +0000 2013	321857143131213824	1046987797	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	Good to hear!  Stay positive!!!!   luv ya!  @SugarRRocks @barzgr6	CAMI
321857911796146176	32171756	Wed Apr 10 05:31:20 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Arizona	.@LauraJaneGrace: My First Year as a Woman http://t.co/dR57i6Zynu . Happy anniversary, Laura! #trans #girlslikeus	Abby Jensen
321874429296640000	967033308	Wed Apr 10 06:36:58 +0000 2013	321873082132336640	18244206	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	common sense, responsibilty, my pink scrunchee?  @GayPatriot	CAMI
321878073962266624	967033308	Wed Apr 10 06:51:27 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	RT @MasterOfFury: You have just the right amount of wrong and it really turns me on.	CAMI
321878375918620672	967033308	Wed Apr 10 06:52:39 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA	RT @MasterOfFury: i like dropping off a tweet to FB &amp; watch as everyone cautiously forms a circle around it, looking confused while  ...	CAMI
