327937899381268481	262547649	Sat Apr 27 00:11:02 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Ladera Heights 	RT @TransGriot: #Blackprivilge is being surprised that Black #girlslikeus exist who have college educations, jobs and don't speak drag quee…	Miss Cleo
327944094376677376	967033308	Sat Apr 27 00:35:39 +0000 2013	327921503637229569	62640801	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I carry no less than 50 ass-naps in my purse as well!  It's a major production for me!!!   @jjwhales	CAMI
327953225397448704	967033308	Sat Apr 27 01:11:56 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @mrtruthandsoul: is pussylips one word, or should I spread them apart?	CAMI
327954777449304065	967033308	Sat Apr 27 01:18:06 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @TylerComeOn: A thief broke into my house last night. He was searching for money...   So I woke up and started searching with him.	CAMI
327967679233269761	967033308	Sat Apr 27 02:09:22 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	A. Rodgers strikes gold in Green Bay!     http://t.co/J9XaHh5rLF	CAMI
327993432159170560	967033308	Sat Apr 27 03:51:42 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @darlenesedor: You will never know. http://t.co/B6UHatF0oR	CAMI
327996292603211777	967033308	Sat Apr 27 04:03:04 +0000 2013	327995790943457280	296043942	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Who's Kevin?   Heeey, he told me he was The Red Rocker when he invited me to his room at the Motel 6! @devansgorock @douchekevin @drlakr	CAMI
328003481749291008	967033308	Sat Apr 27 04:31:38 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Our new puppy shit on the newspaper four times today...   three times while I was reading it!	CAMI
328006149276311552	967033308	Sat Apr 27 04:42:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Oooops...  screwed that one up!	CAMI
328011132075900930	967033308	Sat Apr 27 05:02:02 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @cjcapbt: Buy me a pill dispenser . So I know what day it is .	CAMI
328011668942618624	967033308	Sat Apr 27 05:04:10 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Andrea__B__: I like people who are a bit cracked........they let in some rays of sunshine.	CAMI
328015481439125504	967033308	Sat Apr 27 05:19:19 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @politicsofamy: Pressure cooker bombs. Midgets. Things that fit into backpacks.	CAMI
328016060303425536	967033308	Sat Apr 27 05:21:37 +0000 2013	328015452762689537	1157823086	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	WoW!!!!    I am really meeting some great people on here!   thank you so much, really!!!   @wintergirrl	CAMI
328022435851022337	967033308	Sat Apr 27 05:46:57 +0000 2013	328016377589952512	373783051	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Just angers me!  Talk about no respect for innocent life!   grrr!   @Bidenshairplugs	CAMI
328068430358003712	604607829	Sat Apr 27 08:49:43 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	Lol, watching Spellbound has just had me hiding under the duvet. What a master of creating tension Hitchcock was.	Lisa Quinn
328108343459725312	480180330	Sat Apr 27 11:28:19 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		UK, a long way from my gf :(	"@six_of_caprica: Please share this far and wide! http://t.co/um1ykzFI5x #girlslikeus trans women to play the part of a trans woman!" YES!!!	Switchy's LBF
328140778180333568	14752849	Sat Apr 27 13:37:12 +0000 2013	328116506158325760	18629078	web	false		Everywhere 	It's not illegal at all, so then MRAs threaten venue staff and #girlslikeus encourage them #radfem2013 @JamesHeartfield @ImNotMraBut	Cathy Brennan
328197757498167296	216605214	Sat Apr 27 17:23:37 +0000 2013	328164746757017600	18924291	<a href="http://levelupstudio.com/plume" rel="nofollow">Plume for Android</a>	false		'Frohemian Illinois	@janetmock on why mainstream black publications must tell the stories of trans* women of color. http://t.co/0JPhZPuv1l #girlslikeus	Child of Zora
328220419498852352	967033308	Sat Apr 27 18:53:40 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @gunpolicy: “Slapping together a bill based on an emotional reaction is buffoonery” @MrColionNoir nails #guncontrol #fail http://t.co/Xt…	CAMI
328262337301716992	967033308	Sat Apr 27 21:40:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @lifecoachfit: My kids are my life. They are my motivation in everything I do.   The drinking, drugs, murderous rage.   All of it.	CAMI
