333394672410062848	99378776	Sun May 12 01:34:18 +0000 2013		266851744	<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>	false			@PistolAnnies @ashleymonroe awesome music! #girlslikeus #weedinsteadofroses	Melissa Graham
333404084285603840	967033308	Sun May 12 02:11:42 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @monnie_4: Pick yourself up.  Dust yourself off.  Know that you deserve better.  You will be someone's everything.	CAMI
333435361189560320	399507953	Sun May 12 04:15:59 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		bakery/jershey	RT @FlamingDiva: Hey @margaretcho, thanks for fighting a worthy fight. #GirlsLikeUs &lt;3 U!	Matthew Jeter-Justin
333455573582508032	967033308	Sun May 12 05:36:18 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Explain this one...  How the hell does Tarzan not have a beard?	CAMI
333456156431360001	967033308	Sun May 12 05:38:37 +0000 2013	333455652473151489	1130140070	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I think I love you!!!!     @funautocorrect	CAMI
333468005470203905	967033308	Sun May 12 06:25:42 +0000 2013	333456794934444032	1130140070	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL!  Nah, Im more like a pimple on humanity!  ;-). @funautocorrect	CAMI
333474167074729984	967033308	Sun May 12 06:50:11 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	You and I have two totally different views on how to get to the same goal - human acceptance and prosperity for all!  @CHAINLESSLY	CAMI
333512582524727296	604607829	Sun May 12 09:22:50 +0000 2013	333510493450928130	414224773	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@IamIzaskun sunny here :) though rain is forecast :(	Lisa Quinn
333570992263819265	404313227	Sun May 12 13:14:56 +0000 2013			<a href="http://twitter.com/devices" rel="nofollow">txt</a>	false			http://t.co/i2o2W4HlMK #girlslikeus	Maxine Jessica Payne
333602692956049409	413875818	Sun May 12 15:20:54 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Brighton UK	Listening to eggs? No, not waiting for the right chick to come along. Well maybe? #girlslikeus #happiness http://t.co/YXBRXxPz2k	Andie Davidson
333653091612258305	604607829	Sun May 12 18:41:10 +0000 2013			web	false		#GirlsLikeUs 	#np Henry Rollins on KCRW - ep214. Always a 2hr bliss fest. :)	Lisa Quinn
333667410970308608	604607829	Sun May 12 19:38:04 +0000 2013	333664134438744064	358715927	web	false		#GirlsLikeUs 	@lisasevern I'm sorry babe. I've got no answers. I've been thinking about how hard transition is recently. It is v. hard. It's important	Lisa Quinn
333681353017159682	604607829	Sun May 12 20:33:28 +0000 2013	333680551582134272	609707889	web	false		#GirlsLikeUs 	@juliammore Why? What's happened?	Lisa Quinn
333684553149448193	61199572	Sun May 12 20:46:11 +0000 2013			<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	false		 Depends on when one asks ...	Such a common sense issue and should have been passed a long time ago. #ENDA #girlslikeus #boyslikeus http://t.co/NcACdS5K8P	Jessica Whittington
333712663643308034	70818337	Sun May 12 22:37:53 +0000 2013			web	false		London, UK	RT @nflux1: Btw any #girlslikeus who aren't following @JosephHarwood, you might want to check out his videos and makeup tutorials	Joseph Harwood
333720116577566720	967033308	Sun May 12 23:07:30 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @thatstings: @xoCAMILLAxo  HAHAHAHA!! That's awesome!   And No! Still going ;)	CAMI
