334837571723079680	1115776338	Thu May 16 01:07:52 +0000 2013			web	false			Transsexual Brains are Different and Refugees of Male Lives http://t.co/1pvd9EEQki #girlslikeus	Aunty Orthodox
334863609987477505	967033308	Thu May 16 02:51:20 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @PoodleAssassin: Some of us find our mother in a figure. The ballroom scene has many surrogate mothers and we salute them all. #POODLEAS…	CAMI
334880831447375872	967033308	Thu May 16 03:59:46 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Teeter_Totter: For all you guys wearing skinny jeans....you took the phrase "gettin in her pants" the wrong way.	CAMI
334892470972325888	967033308	Thu May 16 04:46:01 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @ElgatoEsmio: The cause of your death is something we can negotiate.	CAMI
334893452108103681	967033308	Thu May 16 04:49:55 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @N0pantz: List of my favorite things to fuck:  1. It	CAMI
334900955923484672	967033308	Thu May 16 05:19:44 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Thank goodness my stomach covers my flabby thighs!	CAMI
334907842928713728	967033308	Thu May 16 05:47:06 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I always wanted to be somebody, but I guess I should have been more specific.	CAMI
335003619734720512	195790623	Thu May 16 12:07:41 +0000 2013			web	false			RT @Lady_Muck666: Easily the best viewpoint on being trans I've read in a long time... http://t.co/UipMAWG0f9 #trans #girlslikeus	David Bergkvist
335013875172909056	77582890	Thu May 16 12:48:26 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Houston	RT @chernowa: MN was 1st inclusive NDA. #minnesota #mnleg #girlslikeus MT @scATX: #Trans People Got Erased By Rachel @Maddow http://t.co/6P…	BenjaminCraft-Rendon
335041687497879552	967033308	Thu May 16 14:38:57 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Dre_77_: It's no coincidence that Gesus Christ and Grilled Cheese share the same initials.	CAMI
335050159874519040	967033308	Thu May 16 15:12:37 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @WittyWonka_: This is why we watch women's sports. (pics) sp:http://t.co/jgzPW2xVcM	CAMI
335095856833388544	885715316	Thu May 16 18:14:12 +0000 2013		18924291	web	false		Tucson, Arizona	@janetmock @Arizona_Abby  Help Lovemme find a home! They helped #girlslikeus through so much We gotta give back! http://t.co/3A5ngTaFJB	Raquel Velasquez
