336271662762827776	475794985	Mon May 20 00:06:26 +0000 2013	336270693119434752	221514228	<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		 Mississauga land	@Barbeydahl That there is a trans community? No. I think #girlslikeus are a community and #boyslikethem are.	b. binaohan
336276121408638977	15969172	Mon May 20 00:24:09 +0000 2013			web	false		maine	If you'll "Like" my FB fan page, you'll find a link to my new blog at @PsychToday.  #girlslikeus @CrownPublishing https://t.co/V9TUnHHYAe	Jenny B.
336302541195329536	967033308	Mon May 20 02:09:08 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @N0pantz: Y'all, a guy called me. CALLED! As in, voluntarily wanted to talk to me. Had to block it though, I don't need that kind of cra…	CAMI
336319347872108545	967033308	Mon May 20 03:15:55 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @MisaHylton: Thank you God, you are faithful ♥	CAMI
336356303746252801	967033308	Mon May 20 05:42:46 +0000 2013			<a href="http://favstar.fm" rel="nofollow">Favstar.FM</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Tammy2Tone: Soooo my step kids informed me the bigger the hoop earring.. The bigger the skank.. Umm all while I was wearing huge hoop e…	CAMI
336357105126748161	967033308	Mon May 20 05:45:57 +0000 2013			<a href="http://favstar.fm" rel="nofollow">Favstar.FM</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @weinerdog4life: Marriage is about finding that one special person that doesn't mind you putting spiders in their mouth while they sleep.	CAMI
336358183117389824	967033308	Mon May 20 05:50:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @ericONEderful: If my ear isn't covered in saliva you haven't blown my mind.	CAMI
336369494815547393	967033308	Mon May 20 06:35:11 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @saraheliza83: Fuck you, guy using lawn mower outside my window at 6 AM.  Fuck you in the ass w/ a bat wrapped in barbed wire &amp; dipped i…	CAMI
336372493822590976	967033308	Mon May 20 06:47:06 +0000 2013			<a href="http://favstar.fm" rel="nofollow">Favstar.FM</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @slyoung5: Love is leaving them the fuck alone sometimes so they can think &amp; feel on their own.	CAMI
336379674731085824	967033308	Mon May 20 07:15:38 +0000 2013	336377236942897153	374331041	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Really?  Keep pat'n yourself on the back Ziegler! Here's my prediction... we keep losing to these crooks bcuz... @CoolChange80 @Zigmanfreud	CAMI
336381511601381376	967033308	Mon May 20 07:22:56 +0000 2013	336380855591264256	374331041	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I dont give a shit what motive anyone has as long we are in it to win for freedom!  @CoolChange80 @Zigmanfreud	CAMI
