337394188817674241	574167327	Thu May 23 02:26:57 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Canada	Been through @PistolAnnies cd Annie Up twice tonight..just as good if not better than the first #girlslikeus #ifeelasincomingon	Erin Hart
337400845144580096	386356917	Thu May 23 02:53:24 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false	[45.551478,-122.5845471]	Portland, Oregon	In a hard and cruel world, pride matters and having no shame is a killer. Stay strong #girlslikeus	Abbie K. Pope
337405584657743872	967033308	Thu May 23 03:12:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @AlanaF3035: Juan Williams: The Obama Administration Has Criminalized Journalism | NewsBusters http://t.co/OrxSm7sJGP via @sharethis	CAMI
337405844553609217	967033308	Thu May 23 03:13:16 +0000 2013	337405692375879680	609703437	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	When is the race?  @nitegirrl_GAC	CAMI
337425998301777920	967033308	Thu May 23 04:33:21 +0000 2013	337404574090539010	876276608	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Have a great night!!   @LeeFields51	CAMI
337426560078458880	967033308	Thu May 23 04:35:35 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @MrsVerCrouse: Report: More Benghazi Whistleblowers to Reveal ‘Devastating’ Details About Attack, Including WHY Chris Stevens Was  http:…	CAMI
337434722227597313	967033308	Thu May 23 05:08:01 +0000 2013	337434240348205057	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	lol, about my profile, just wanted to make sure...  Some people dont see it and are quite stunned when I fill them in. lol. @nitegirrl_GAC	CAMI
337522190415179777	1160483719	Thu May 23 10:55:35 +0000 2013			<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	false			Like a Virgin: I Wish! Latest blog.  #GirlsLikeUs #Bride http://t.co/IgrwGAqehh via @wordpressdotcom	Joy Saint James
337562221032910849	967033308	Thu May 23 13:34:39 +0000 2013	337550660427997185	609703437	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Good morning to you!  You have a good one as well!  @nitegirrl_GAC	CAMI
337563571275829248	967033308	Thu May 23 13:40:01 +0000 2013	337563366161776645	609703437	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Im tired...  n have a long day in front of me!  u must be exhausted!  @nitegirrl_GAC	CAMI
337573008556294144	967033308	Thu May 23 14:17:31 +0000 2013	337571889612480512	291288333	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I have peace-loving muslim friends...  They are not Islamist / Extremist! @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337574212288008192	967033308	Thu May 23 14:22:18 +0000 2013	337573170959773697	1264387838	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	There arent any Christians waging a Holy War that I know of!   @jeffsailorman @Terio818 @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337581174924926977	967033308	Thu May 23 14:49:58 +0000 2013	337580752147447810	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	They are wrong to think it...  but a large percentage DO THINK THAT.    @Rolltide_mn @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337581753629806592	967033308	Thu May 23 14:52:16 +0000 2013	337581221842399233	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	You're a douche!  Fuck off!!   @Rolltide_mn @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337582625948590080	967033308	Thu May 23 14:55:44 +0000 2013	337582127296176129	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	You AND THEY are idiots because you cant follow my point!   @Rolltide_mn @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337583783597469696	967033308	Thu May 23 15:00:20 +0000 2013	337583035253936130	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Explain your rationale...   Without saying  "Duuuuh, it wont fix the problem Cami!"   @Rolltide_mn @MikeDMcmeman @Haroon_55 @SaloumehZ	CAMI
337585608409112579	967033308	Thu May 23 15:07:35 +0000 2013	337585016634765313	175031882	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	UGH!!!   Islamism IS EXTREME!  Following Islam IS NOT!!!      @Haroon_55 @MikeDMcmeman @SaloumehZ	CAMI
337592805553758209	967033308	Thu May 23 15:36:11 +0000 2013	337588059107385344	368592032	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Read the comments section...  SEE how people refuse to accept that Islam is a peaceful religion? I commend you!  @Shaykhabulhuda	CAMI
337602767122210817	18634831	Thu May 23 16:15:46 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Chicago, IL	Good thing the picnic is INSIDE @CenteronHalsted! Join us for the free food &amp; resource fair from 1-4pm #summersandbox #girlslikeus	Angelica Ross
337630428741632002	967033308	Thu May 23 18:05:41 +0000 2013	337629113252728832	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	If I see a Tweet that I feel strongly for or against, sure I chime in! But I dont make snide comments to ppl I know and respect @Rolltide_mn	CAMI
337631674508656640	967033308	Thu May 23 18:10:38 +0000 2013	337631284790689792	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...it is one reason why so many lump all muslims into "extremists."   They are wrong... But again, it is what we have to fight... @Haroon_55	CAMI
337632898884710400	967033308	Thu May 23 18:15:30 +0000 2013	337631674508656640	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Your Facebook posting by @Shaykhabulhuda is RIGHT ON!   This is what needs to happen! He denounced the act like we all do... @Haroon_55	CAMI
337633515673890816	967033308	Thu May 23 18:17:57 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @LeeFields51: Snide comments close doors. Closed doors shut out PEACE! @xoCAMILLAxo @Rolltide_mn	CAMI
337641694453432321	967033308	Thu May 23 18:50:27 +0000 2013	337641536969916416	876276608	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Probably a factor!  @LeeFields51	CAMI
337641937605644288	967033308	Thu May 23 18:51:25 +0000 2013	337641091702611968	391555496	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Jason u just make it difficult for me to want to talk to you.  @Rolltide_mn @ThomRog1621	CAMI
337651802579275776	967033308	Thu May 23 19:30:37 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @InsideMissEmily: I don't care who you are, what you believe in, or what walk of life you come from, I still want to see your boobs.	CAMI
337655057363386369	967033308	Thu May 23 19:43:33 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @J0hnnyBlaze: Facebook "It's raining" "I love my mom!" *baby pic*  Twitter "It's raining pussy" "I fucked your mom!" *boob pic*	CAMI
337656089225076736	967033308	Thu May 23 19:47:39 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @ThePaaawnShop: I need female volunteers for a study: Doing research on the effects of oral on my penis. And also, the effects of making…	CAMI
337666528919027713	967033308	Thu May 23 20:29:08 +0000 2013	337658596986851328	49468514	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	May I share this with two other tweeters who argued this with me?  @SaloumehZ	CAMI
337669381309997056	1115776338	Thu May 23 20:40:28 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false			RT @AutumnSandeen: Via @HuffPostGay: #LGBT Narratives, Memory and The Sense of an Ending http://t.co/mnx5Wmepjt #trans #girlslikeus	Aunty Orthodox
337670224209924097	967033308	Thu May 23 20:43:49 +0000 2013	337669008297963520	274637274	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	You can say many governments in many countries are oppressive! Hell, US oppresses Conservatives! @jonnobravy @marstraveler @SaloumehZ	CAMI
337672040305795073	967033308	Thu May 23 20:51:02 +0000 2013	337671539937902592	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Now we're off-topic!  Lets cut to the chase...  So u lump all muslims in with terrorists?  @jonnobravy @marstraveler @SaloumehZ	CAMI
337676767403864064	967033308	Thu May 23 21:09:49 +0000 2013	337676411701714944	274637274	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Where did i say that?  You said all muslims support terrorism. @jonnobravy @HardCoreBaker @marstraveler @SaloumehZ @DrZuhdiJasser	CAMI
337682601705865217	967033308	Thu May 23 21:33:00 +0000 2013	337682106249535489	19726270	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Well, that is the case for anyone isnt it?  @bobbyboy55	CAMI
337682765036277760	967033308	Thu May 23 21:33:39 +0000 2013	337682106249535489	19726270	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	So lets just mow down all muslims so we can get the bad ones?  u are sick!  @bobbyboy55	CAMI
337683671014338561	967033308	Thu May 23 21:37:15 +0000 2013	337683167920156672	19726270	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Read it Bobby!  @bobbyboy55	CAMI
337686384770957312	967033308	Thu May 23 21:48:02 +0000 2013	337685663702978561	16102308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Thats what i do best...  where's another hornet's nest??  @MarkinSavannah	CAMI
337690218285117440	967033308	Thu May 23 22:03:16 +0000 2013	337689793486020609	1150099213	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...are up to no good!  @MAWGmn @jonnobravy @marstraveler @SaloumehZ	CAMI
337694869881511937	967033308	Thu May 23 22:21:45 +0000 2013	337693695358955520	1150099213	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	The ideology of IslamISM says we are infidels and incites jihad...  that is different!  @MAWGmn @jonnobravy @marstraveler @SaloumehZ	CAMI
337690218285117440	967033308	Thu May 23 22:03:16 +0000 2013	337689793486020609	1150099213	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...are up to no good!  @MAWGmn @jonnobravy @marstraveler @SaloumehZ	CAMI
337709482719191040	967033308	Thu May 23 23:19:49 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @InsideMissEmily: Women are very good at making you fall in love with them before they reveal how crazy they really are.	CAMI
337713924545843201	967033308	Thu May 23 23:37:28 +0000 2013	337655706939441152	792904723	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	NO!  @hamil7on @slone	CAMI
337718991491567617	967033308	Thu May 23 23:57:36 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @FredZeppelin12: Now the Gibson Guitar raids make sense: IRS Tea Party Intimidation An Echo Of Raids On Gibson Guitar http://t.co/bT24vO…	CAMI
