341706893523300354	138379276	Tue Jun 04 00:04:06 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Montréal	RT @tracygarza: Navy SEAL who helped kill OBL comes out as #trans woman #girlslikeus http://t.co/2CZQgyFKsB	Adam van Sertima
341708713930919936	48780536	Tue Jun 04 00:11:20 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Chicago	RT @tracygarza: Navy SEAL who helped kill OBL comes out as #trans woman #girlslikeus http://t.co/apSECiSPfy	Shannon LC Cate
341716293231198208	14746855	Tue Jun 04 00:41:27 +0000 2013			web	false		Boston, MA	RT @tracygarza: Navy SEAL who helped kill OBL comes out as #trans woman #girlslikeus http://t.co/2CZQgyFKsB	Kay T. Holt
341718616594583553	967033308	Tue Jun 04 00:50:41 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @bfrosty04: To be honest, I'd visit my parents more often if they owned a roller coaster.	CAMI
341718645992456192	967033308	Tue Jun 04 00:50:48 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @theshamingofjay: The first rule of nap club is SHUT THE FUCK UP	CAMI
341718780117909504	967033308	Tue Jun 04 00:51:20 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @DWaitress: I'm white, but not "use my chopsticks in a Japanese restaurant to cast Harry Potter spells" white. Just kidding. Alohamora!	CAMI
341719380025016322	967033308	Tue Jun 04 00:53:43 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @N0pantz: I don't play Truth or Dare. I play get naked or Get The Fuck Out.	CAMI
341720290050576384	967033308	Tue Jun 04 00:57:20 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Mikecanrant: That Michael Douglas joke was in no way a joke about cancer. Cancer isn't funny. I have 2 or 3 types of cancer myself acco…	CAMI
341720885704663041	967033308	Tue Jun 04 00:59:42 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Bearslietoo: I don't think it's morally wrong to stab someone in the face with a fork if they spit sneeze and it lands on your food.	CAMI
341720998904725504	967033308	Tue Jun 04 01:00:09 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Dre_77_: Automatically assuming a fart is mine is my token move.	CAMI
341741261776121856	967033308	Tue Jun 04 02:20:40 +0000 2013	341740677236928513	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	That's where Atheist's falter...  they are no better than ultra-religious zealots if they just judge people.  @mizcreant	CAMI
341743203919216640	967033308	Tue Jun 04 02:28:23 +0000 2013	341742579722895361	24295482	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Can anyone give a realistic prediction of whether O-Care can be repealed?  Will it... @DavidWebbShow @rickungar @Forbes @CSteven @RayMooch	CAMI
341766104491896832	967033308	Tue Jun 04 03:59:23 +0000 2013	341759271207305216	17690286	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	See, here's where we will part ways... You are convinced it's a delusion.  Ive seen the other side. You can say what u want... @mizcreant	CAMI
341766431823785984	967033308	Tue Jun 04 04:00:41 +0000 2013	341766104491896832	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	But I know what I know.  I wont argue this point with u because u support your non-belief! @mizcreant	CAMI
