347883425891508224	32171756	Fri Jun 21 01:07:26 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Arizona	Tell the @TSA to stop outing #trans &amp; #LGBT travelers. Protect our privacy and dignity.  http://t.co/wS9RZ90Jis #p2 #girlslikeus #guyslikeus	Abby Jensen
347909740682153984	967033308	Fri Jun 21 02:52:00 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @MonicaBHillz: Get into these lipsticks for ur life or the summer lol:-)@PoodleAssassin http://t.co/0JHRNWmPr0	CAMI
347909988267749376	32793083	Fri Jun 21 02:52:59 +0000 2013			<a href="http://instagram.com" rel="nofollow">Instagram</a>	false		Chicago,IL	Serving you #summer #hair #girlslikeus #wehappytrans #feelingmytrans #transwoman #transitioning #ombre… http://t.co/EQpTItH7Dk	Precious Davis
347914413220700160	967033308	Fri Jun 21 03:10:34 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @JohnEkdahl: Chelsea Clinton laments her grandmother not having access to Planned Parenthood? Are these people self-aware? http://t.co/t…	CAMI
347927197362819072	967033308	Fri Jun 21 04:01:22 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @PoodleAssassin: Here is our Poodle Assassin Hershey wearing #HILLZ lip fantasy. A nude with a wink! This color is a moist matte... http…	CAMI
347936110439198720	967033308	Fri Jun 21 04:36:47 +0000 2013	347935085070266368	27046785	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL @Shaughn_A	CAMI
348026812267368448	285688220	Fri Jun 21 10:37:12 +0000 2013			web	false		Melton Mowbray	RT @ScholarlySlut: Counter-intuitive : Go Bulky to be Girly #GirlsLikeUs #Passing #Transition #Transsexual http://t.co/nlOFf2xWu0 via @word…	J S Morbius
348073364914569216	967033308	Fri Jun 21 13:42:11 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Schmidt2R: No one mentions that the 700 miles of fence IS ALREADY LAW!!  "@marklevinshow: And the fan dance has begun... http://t.co/uZ…	CAMI
348106591863721985	604607829	Fri Jun 21 15:54:13 +0000 2013			web	false		#GirlsLikeUs 	Funny walking home from the Dr's and two girls who looked like extras from TOWIE stopped me and asked if I go to CX and if I'm post op' lol.	Lisa Quinn
348148564326744065	604607829	Fri Jun 21 18:41:00 +0000 2013			web	false		#GirlsLikeUs 	Such sweet a geeetar! http://t.co/rZNcvUkso8 The Raveonettes 'Love In A Trashcan' Thanks to @KatiePuckrik Much love.	Lisa Quinn
348162854345650176	604607829	Fri Jun 21 19:37:47 +0000 2013	348161422695464962	600365481	web	false		#GirlsLikeUs 	@RachelLizMills @Jayne_Jayney Well she can skate backwards which I can't do. Not sure I ever will be able too either :)	Lisa Quinn
348186623525130241	488022135	Fri Jun 21 21:12:14 +0000 2013	348163801817944066	585789428	web	false		Queens	@IAmAmeliaJune I did it myself three years ago. It was the day that confirmed I needed to go full-time. Scary, but good. #girlslikeus	Kara & Deb
348191589492985856	604607829	Fri Jun 21 21:31:58 +0000 2013	348190669564686337	300002444	web	false		#GirlsLikeUs 	@kara_louise18 Ta, K'. xx	Lisa Quinn
348192432611004416	967033308	Fri Jun 21 21:35:19 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @LindaSuhler: Here comes the RACIST card!--&gt;&gt;Slate's Yglesias Calls Rand Paul 'White Supremacist' http://t.co/XYMGyBePiT BS!	CAMI
348193053233782784	604607829	Fri Jun 21 21:37:47 +0000 2013	348191146410901504	358715927	web	false		#GirlsLikeUs 	@lisasevern Ha, I'm still a northerner at heart eh! xx	Lisa Quinn
348193904803319808	604607829	Fri Jun 21 21:41:10 +0000 2013			web	false		#GirlsLikeUs 	Time to wake up then http://t.co/SMGtBzEbqB :)	Lisa Quinn
348195188449099776	967033308	Fri Jun 21 21:46:16 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	FP Physicians are starting to figure this out...  GET RID OF INSURANCE and go FEE FOR SERVICE!	CAMI
348227719542235136	604607829	Fri Jun 21 23:55:32 +0000 2013			web	false		#GirlsLikeUs 	This is great http://t.co/XNH18eMorw Tom Tom Club on scintillating form :)	Lisa Quinn
