367498763474329600	18634831	Wed Aug 14 04:11:47 +0000 2013			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Chicago, IL	Thank You @MissGlitz80 for your Contribution! Here's a new video! @Indiegogo #GirlsLikeUs #MissRoss #LifeCoach http://t.co/ACEJpo4Oad	Angelica Ross	angelicaross
367596419567583232	1666081194	Wed Aug 14 10:39:50 +0000 2013			<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		Rainbow Nation, South Africa	New twitter account, New vision, New attitude.. Some are gonna commend/ridicule me.. But either way I'm gonna ♥ me #Girlslikeus	Amelia	AmeliaDevine_
367602677649506304	1666081194	Wed Aug 14 11:04:42 +0000 2013			<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		Rainbow Nation, South Africa	Absolutely! Love u both so much♥ RT @Lavernecox: @janetmock @AmeliaDevine_ Ah yes darling. dream until your dreams comes true #girlslikeus	Amelia	AmeliaDevine_
367647435100680193	967033308	Wed Aug 14 14:02:33 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Anyone wonder why RINOs are so enthused about granting amnesty, and voting rights, to millions of illegals? Its bcuz theyre really Democrats	CAMI 	xoCAMILLAxo
367654838084984832	967033308	Wed Aug 14 14:31:58 +0000 2013	367653201933115392	555186610	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Ya, you are right, the primary is key since Dems can vote in the SC GOP primary!  @enlightndrogue	CAMI 	xoCAMILLAxo
367658994573131776	967033308	Wed Aug 14 14:48:29 +0000 2013	367658136473051136	555186610	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	And I am pro immigration...  but support a fair, equitable system and border security!  Amnesty is a political power grab! @enlightndrogue	CAMI 	xoCAMILLAxo
367667965908377602	1285762304	Wed Aug 14 15:24:08 +0000 2013			web	false		United States	&gt;by my observation, leads to ideological reification of the kyriarchy (not practical, I know ppl have to survive) that stifles&gt; #girlslikeus	Tamara K.W.	demiurgicimp
367668805050187776	1285762304	Wed Aug 14 15:27:28 +0000 2013			web	false		United States	&gt;I respect trying to set a "good example", and empathize w/the self-worth aspect, but ultimately it's counterproductive&gt; #girlslikeus	Tamara K.W.	demiurgicimp
367678263126028288	967033308	Wed Aug 14 16:05:03 +0000 2013	367677934267408385	180770812	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	lol!  @charles_consult @ChiefTwittler @Junetheevil	CAMI 	xoCAMILLAxo
367688358778007554	26182474	Wed Aug 14 16:45:10 +0000 2013			web	false		New York, New York	The usual answer is "you don't need surgery to be considered a woman," which is fine for the socially dysphoric, which I'm not. #GirlsLikeUs	Nadia Yvette	NadiaYChambers
367705400381943808	1389685340	Wed Aug 14 17:52:53 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Halifax, NS	One day, I will find a way for my sister to meet @TheEllenShow -- another amazing, strong, LGBT-allied woman. #GirlsLikeUs #Transgender	Elle, Photographeuse	LyndsaySawler
367714476818452480	32171756	Wed Aug 14 18:28:57 +0000 2013			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Arizona	MT @TransNewsGirl: The hard lives &amp; brutal deaths of minority #transgender women: http://t.co/SwYMSECNrS http://t.co/mopjTl3q9Z #girlslikeus	Abby Jensen	Arizona_Abby
367754162995351552	967033308	Wed Aug 14 21:06:39 +0000 2013	367753800741683200	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...we preferred having the cheap labor... we allowed them to illegally cross... @Meeeech_L @enlightndrogue	CAMI 	xoCAMILLAxo
