367801495934492672	16738904	Thu Aug 15 00:14:44 +0000 2013			<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	false		Virginia	RT @EvaOdland: Breanna Manning's pic. What #girlslikeus put ourselves through and what the world does to us is a tragedy. http://t.co/iI9Pw…	Vivian/Doug/Vividoug	HereticalHomo
367819493721919488	967033308	Thu Aug 15 01:26:15 +0000 2013	367819220475592704	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...and if Mexico would have become a capitalist economic machine, we all would have benefited. @fuelandseed @Meeeech_L	CAMI 	xoCAMILLAxo
367852439967256576	967033308	Thu Aug 15 03:37:10 +0000 2013	367833911180918785	327592612	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I laugh when liberal-minded people say "thank you" when I say something they agree with!  @StevenDLindsey @fuelandseed @Meeeech_L	CAMI 	xoCAMILLAxo
367871050161201152	967033308	Thu Aug 15 04:51:07 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @24AheadDotCom: .@xoCAMILLAxo: the valid #immigration option is: http://t.co/7L4jHRaqKE But, first, I'm just trying to have *honest* nat…	CAMI 	xoCAMILLAxo
367997147498545152	1510014596	Thu Aug 15 13:12:11 +0000 2013			web	false		Brooklyn	Had anxiety attack that I will never get my period. Cis friends think I'm nuts when I put pantiliner in just to feel something #GirlsLikeUs	Jennifer Erica	jennerica1
367998661835231232	604607829	Thu Aug 15 13:18:12 +0000 2013	367997493856178176	774717986	web	false		#GirlsLikeUs 	@C4zzi I still chuckle over reading this tweet at the weekend. "Omlette, noun, a small Buddhist chant" ;) via @RachelLizMills	Lisa Quinn	lisaquinn345
368026180680957952	595756803	Thu Aug 15 15:07:33 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		New Jersey/New York	I do this to increase awareness... not followers... #GirlsLikeUs  #MoreThanTrans	Lourdes Hunter	HunterLourdes
368026348495077376	604607829	Thu Aug 15 15:08:13 +0000 2013	368025443888529408	24675155	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs 	@MissCassHoskins oh wow! That's amazing Cass. You must be so thrilled :)	Lisa Quinn	lisaquinn345
368027849862561792	967033308	Thu Aug 15 15:14:11 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @39caroline: More global warming bull.....Apples losing their crunch to global warming http://t.co/P5C0ojcli1	CAMI 	xoCAMILLAxo
368035609429819392	389708024	Thu Aug 15 15:45:02 +0000 2013		63112528	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Chicago, IL	@Lavernecox on the #WindyCityTimes front page! I can't wait to begin #OrangeIsTheNewBlack #GirlsLikeUs #TransAlly http://t.co/QsQOffl53n	B to the Estep	e_stepping
368043045767630848	370833462	Thu Aug 15 16:14:34 +0000 2013	368029764990164992	25110374	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false			@UncleRUSH From Africa2the Caribbean we blacks have been known 4our warm humor &amp; ability to laugh @ ourselves thru pantomime..#girlslikeus	Eden	Edenimagica
