376866582359998464	585789428	Mon Sep 09 00:36:09 +0000 2013			<a href="http://tapbots.com/software/tweetbot/mac" rel="nofollow">Tweetbot for Mac</a>	false		New Jersey	Transition complicates everything, especially changing jobs. #girlslikeus http://t.co/9FJccBtn3O	Amelia	iamAmeliaJune
376866892600070145	1542256604	Mon Sep 09 00:37:23 +0000 2013			<a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>	false		DC Metro Area, USA	RT @transmarch: "Wow, you can really pass for a woman" #GirlsLikeUs http://t.co/NWTxomgeX3	Shadowbolt	ShadowboltAudi
376871271331422209	967033308	Mon Sep 09 00:54:47 +0000 2013	376870439575769088	232553434	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL, not sure, maybe that's what he's up to!  @wgibson58	CAMI 	xoCAMILLAxo
376872575973875712	131658248	Mon Sep 09 00:59:58 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Denver, CO	Thanks HuffPo for the interview about @TransMedianFilm for the article on #Transgender documentaries! #girlslikeus	Jordan Wieleba	jordancomedy
376875738374221825	967033308	Mon Sep 09 01:12:32 +0000 2013	376875205920296964	1390794780	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Not sure but seems there is contrary evidence coming from different sources / countries!  Someone is lie'n like a mofo @moss92g @iResistAll	CAMI 	xoCAMILLAxo
376875738374221825	967033308	Mon Sep 09 01:12:32 +0000 2013	376875205920296964	1390794780	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Not sure but seems there is contrary evidence coming from different sources / countries!  Someone is lie'n like a mofo @moss92g @iResistAll	CAMI 	xoCAMILLAxo
376917077317009409	967033308	Mon Sep 09 03:56:48 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @LeMarquand: This is a struggle.... http://t.co/JzxySTMiAv	CAMI 	xoCAMILLAxo
376960622904479744	535560719	Mon Sep 09 06:49:50 +0000 2013			<a href="http://instagram.com" rel="nofollow">Instagram</a>	false		Bournemouth	Peace, love and happiness.  To be accepted you have to accept yourself.  #GirlsLikeUs… http://t.co/JO1Bj0doMF	Debbie Louise Cannon	DebbieCannon7t3
376968054938169344	604607829	Mon Sep 09 07:19:22 +0000 2013	376966277409296385	636424436	web	false		#GirlsLikeUs 	@HirstStephanie All the best for today Stephanie :) x	Lisa Quinn	lisaquinn345
377099764770160640	18924291	Mon Sep 09 16:02:44 +0000 2013	377095411691163648	1119231739	web	false		Manhattan via Oahu	@soniaucr It's deeply troubling that the system continues to invalidate our lives in this way. #girlslikeus	Janet Mock	janetmock
377118831803518976	1847609456	Mon Sep 09 17:18:30 +0000 2013		1394853272	web	false		Toronto	@lisasever Hi Lisa ... and thanks for speaking for the world. It would be a better place if #girlslikeus did! :-)	Susan Scott	FlutterByLake
377130055656554496	32171756	Mon Sep 09 18:03:06 +0000 2013	377128875958231040	1119231739	<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Arizona	@soniaucr @janetmock ...at this point. Only time will tell, however. #IslanNettles #girlslikeus	Abby Jensen	Arizona_Abby
377154407919398912	604607829	Mon Sep 09 19:39:52 +0000 2013			web	false		#GirlsLikeUs 	RT @CATPOWER: PUSSY RIGHTEOUS #pussyriot #work #work #work http://t.co/Vofo9EGs6b	Lisa Quinn	lisaquinn345
377211681325060097	447447490	Mon Sep 09 23:27:27 +0000 2013			web	false		www.LettersForMyBrothers.com	CALL FOR SUBMISSIONS: "Skin to Skin" magazine for #LGBT women - poetry/prose/art Due Oct. 7. #trans #mtf #girlslikeus http://t.co/P2Epf5lIwE	Transgress Press	trans_books
377215523081048064	447447490	Mon Sep 09 23:42:43 +0000 2013			web	false		www.LettersForMyBrothers.com	"Colors of the Ink" - anthology of women of color "othered" by academia. http://t.co/WMLfMZeks4 Seeking #girlslikeus #mtf #trans Due Sept 30	Transgress Press	trans_books
