389552518860398592	193581572	Mon Oct 14 00:45:32 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Montreal	RT @Lavernecox: In case you missed it check out my segment with @craigmelvin on @msnbc earlier today #girlslikeus http://t.co/EChnqhVCZ1 vi…	Jaren	jarenlive
389561926604177409	2758331	Mon Oct 14 01:22:55 +0000 2013	389561568423206912	1697932884	<a href="http://www.metrotwit.com/" rel="nofollow">MetroTwit</a>	false			@GenderMinefield Okay, and you've said your piece.  Noted. Or are you looking for more attention? #girlslikeus #fuckcispeople #shoutingback	Kels-something-scary	Nezchan
389563054922276864	2758331	Mon Oct 14 01:27:24 +0000 2013	389562670879236096	1697932884	<a href="http://www.metrotwit.com/" rel="nofollow">MetroTwit</a>	false			@GenderMinefield Well, unsolicited advice from some random person on Twitter actually is trivial. #girlslikeus #fuckcispeople #shoutingback	Kels-something-scary	Nezchan
389572274203795457	967033308	Mon Oct 14 02:04:02 +0000 2013	389571941654220800	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...oh wait, "Warriors" is probably racist too, huh Bob?	CAMI	xoCAMILLAxo
389590942908293122	967033308	Mon Oct 14 03:18:13 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @KarrattiPaul: Via @rednationrising please patriots help this vet go viral. #1MVetMarch #makeDClisten #ImpeachObama #opSLAM #tcot http:/…	CAMI	xoCAMILLAxo
389594172694343682	967033308	Mon Oct 14 03:31:03 +0000 2013	389593314036436992	116835497	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Many suspected it, yes, but you were not certain it would fail!  If it had not, it would have been a major snafu @AG_Conservative @ByronYork	CAMI	xoCAMILLAxo
389594432430821376	967033308	Mon Oct 14 03:32:05 +0000 2013	389594172694343682	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Again, hindsight is 20/20! @AG_Conservative @ByronYork	CAMI	xoCAMILLAxo
389595321874915329	967033308	Mon Oct 14 03:35:37 +0000 2013	389594432430821376	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	This is why GOP will keep losing... they sit and wonder "what if?". @AG_Conservative @ByronYork	CAMI	xoCAMILLAxo
389595682576683008	967033308	Mon Oct 14 03:37:03 +0000 2013	389595008744972288	116835497	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Well, guess what? GOP will still live to see another day if they show us they'll fight for us!  @AG_Conservative @ByronYork	CAMI	xoCAMILLAxo
389611566477225984	967033308	Mon Oct 14 04:40:10 +0000 2013	389608449811566592	1366182332	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Well, we have alot of ppl leaving the GOP ranks... including myself! @DJMatthewShaw @AG_Conservative @ByronYork	CAMI	xoCAMILLAxo
389612694409469953	967033308	Mon Oct 14 04:44:39 +0000 2013	389579175805202432	15970073	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	True Hate and Racism?  Such as??   @whome51obama @BruceBartlett	CAMI	xoCAMILLAxo
