390649279284408320	70665746	Thu Oct 17 01:23:40 +0000 2013			web	false		Oakland	my thoughts on trans allies http://t.co/0DGRz4vvXo #socialjustice #girlslikeus #trans #allies	MURDER EDITION PORP	aliendovecote
390665972258181120	967033308	Thu Oct 17 02:30:00 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Harry pays off Mitch...   McConnell gets $ for Kentucky in the deal! http://t.co/aUSsxdbMch	CAMI	xoCAMILLAxo
390679696116965376	86012492	Thu Oct 17 03:24:32 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false			RT @miss_sudo: #ff @cristanwilliams and @transadvocate for being TRUE trans-equality rockstars. She is changing our world. #girlslikeus	Marti Abernathey	Martiabernathey
390687149558743040	967033308	Thu Oct 17 03:54:09 +0000 2013	390525694725595136	166329578	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Nor does the picture match the article description!   Nice bullshit story ASSHOLE!!!   @TheBaxterBean	CAMI	xoCAMILLAxo
390789565835116544	543581602	Thu Oct 17 10:41:07 +0000 2013			<a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>	false		United States 	RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	Adrienne Gravish 	AquafarE
390790388271050752	423734636	Thu Oct 17 10:44:23 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Inside your wifeys stomach	RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	EpiphanyChanel	EpiphanyChanel
390794012082204673	128601187	Thu Oct 17 10:58:47 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		TN 	RT @thatsballin: Laverne Cox from #OITNB straight up preaching about race, gender, and class. #girlslikeus http://t.co/iNwKidjr04	Justin Hyphen-Name	KeepCalmJustin
390804489416216577	1166956357	Thu Oct 17 11:40:25 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Sydney, Australia	RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	Chris Topp	ChrisToppSydney
390869744238489600	1959013171	Thu Oct 17 15:59:43 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false			RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	OITNB MEXICO	OitnbMexico
390882553684455424	967033308	Thu Oct 17 16:50:37 +0000 2013	390862314368270336	470641615	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	This coming from an intellectually inferior Non-TeaPartier...    The proof -  http://t.co/ilDa8gItSS  @gretschdad @teapartynation	CAMI	xoCAMILLAxo
390895350522728448	967033308	Thu Oct 17 17:41:28 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @act4america: Protect Your State from #ShariaLaw! Sign our petition. Help Pass #ALAC in Your State! http://t.co/dOkT5zC4nA http://t.co/M…	CAMI	xoCAMILLAxo
