391023746636476417	621417253	Fri Oct 18 02:11:40 +0000 2013		87393526	web	false		#TeamThunder, OKC	@Sidneystardance please go check out my blog at http://t.co/3OCuuVGvmz..follow me if you have a Tumblr! #girlslikeus	sasha supernova	supernova_sasha
391031195699777536	142020468	Fri Oct 18 02:41:16 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Troy, Michigan	RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	Katelyn Amalfitano	Kamalf
391035985447755776	967033308	Fri Oct 18 03:00:18 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @cgs_atl: No such thing as media bias? &gt;&gt; Networks blamed shutdown on GOP in 41 stories --- 0 for Dems http://t.co/useIccdg1S via @DCExa…	CAMI	xoCAMILLAxo
391036363216146432	967033308	Fri Oct 18 03:01:48 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @ILLEGALObamaIDS: "@UniteRight Breaking: The @GOP has died in an apparent suicide. No loved ones R left behind. http://t.co/J4ixy6JmUP h…	CAMI	xoCAMILLAxo
391036513925881857	967033308	Fri Oct 18 03:02:24 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @irritatedwoman: Sharyl Attkisson Spotlights New Obama Admin. Scandal: Grenade Running | Media Research Center http://t.co/J1Qrj5x43W	CAMI	xoCAMILLAxo
391036773893435392	1851899000	Fri Oct 18 03:03:26 +0000 2013			<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>	false		Everywhere	#girlslikeus are not for sale. http://t.co/9FHdDWp0ds	OWL	orgwomenslib
391037285770465280	1851899000	Fri Oct 18 03:05:28 +0000 2013			<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>	false		Everywhere	#girlslikeus is a must read. http://t.co/lra8625p5W	OWL	orgwomenslib
391038275743256576	967033308	Fri Oct 18 03:09:24 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Lileensvf1: Ratings crash! MSNBC in massive plunge #PJNET http://t.co/y5qAErD0oO	CAMI	xoCAMILLAxo
391040628680708096	628069319	Fri Oct 18 03:18:45 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Ciudad de México	RT @Lavernecox: I went purple with the spirit day app. I stand against the bullying of lgbt youth. #girlslikeus http://t.co/7AmXEw9Gnw	Lupita	lups_suazo
391056021684498432	32171756	Fri Oct 18 04:19:55 +0000 2013			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	false		Arizona	#girlslikeus MT @TransEquality #Trans students have rights! Report complaints to US Dept. of Ed: http://t.co/tOhpDe3ucq . #SpiritDay #LGBT	Abby Jensen	Arizona_Abby
391057275839717377	404313227	Fri Oct 18 04:24:54 +0000 2013			web	false			#girlslikeus Found this on a random christian news site talking about the #FalseFlorence case. http://t.co/rtgfF3SbLx http://t.co/TokIdclEWy	Violet Hyena	VioletHyenaMax
