394978438542393344	1087382700	Tue Oct 29 00:06:12 +0000 2013			<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	false		Oakland	RT @transadvocate: PJI caught lying... yet again: http://t.co/BmqGYcFBIV #trans #girlslikeus	Miss Park	blk_bk
395009543207256065	967033308	Tue Oct 29 02:09:48 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @USMC_Nightmare: Rear Adm. Charles Gaouette, USN: "could have launched aircraft to #Benghazi".  Obama fired him. http://t.co/xPzIrWy74m”…	CAMI	xoCAMILLAxo
395014744458817536	1645909694	Tue Oct 29 02:30:28 +0000 2013	394979585164845056	14075928	web	false		Berkeley, CA	@TheOnion Lazy joke at the expense of trangender folks. I'm glad our suffering amuses you. Boo. #trans #girlslikeus	Greta Anderson	GretaGustava
395024810524147712	45042330	Tue Oct 29 03:10:28 +0000 2013			<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>	false		Brisbane Australia	RT @transadvocate: PJI caught lying... yet again: http://t.co/BmqGYcFBIV #trans #girlslikeus	Joanne 	BrisVegan
395038429341167617	967033308	Tue Oct 29 04:04:35 +0000 2013	395037579990814720	769702230	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	No, living in the South does not grant ANYONE the right to use reverse racism!  @YDanasmithdutra @Margaretherapy	CAMI	xoCAMILLAxo
395041164027371520	967033308	Tue Oct 29 04:15:27 +0000 2013	395040865481015296	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Im not backing the idiot...  im just pointing out that you are misinterpreting his statement! @YDanasmithdutra @Margaretherapy	CAMI	xoCAMILLAxo
395043521343655936	967033308	Tue Oct 29 04:24:49 +0000 2013	395042693359075328	769702230	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	I dont group people and judge them by the color of their skin or party affiliation like u do!   @YDanasmithdutra @Margaretherapy	CAMI	xoCAMILLAxo
395056766829879297	63112528	Tue Oct 29 05:17:27 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Photo by Hao Zeng	RT @CharliTora: @lavernecox representing the #girlslikeus and #trans peeps here at the Academy. :-). Woo hoo! @… http://t.co/ikEkfZmKIg	Laverne Cox	Lavernecox
395165756079349761	163611448	Tue Oct 29 12:30:32 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		searching for home	RT @MissParkerMarie: #ICYMI I published an essay at @bustle  about legitimizing trans identities. http://t.co/T1WkqCQX61 #girlslikeus	WRAITH Posey	ponyonabalcony
395173578229813249	2147545286	Tue Oct 29 13:01:37 +0000 2013			web	false		Pittsburgh	#girlslikeus I do not eat candy aside from chocolate. However, Jelly Beans need boycotted: http://t.co/IkM3JkMAOU	aeryn rebeka fulton	AerynFulton
395193341962248192	63112528	Tue Oct 29 14:20:09 +0000 2013	395188395879956480	15119847	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		Photo by Hao Zeng	@ddirty531 @Splash_T thanks for the love. Loving trans people is a revolutionary act #girlslikeus	Laverne Cox	Lavernecox
395208080738119680	967033308	Tue Oct 29 15:18:43 +0000 2013	395055032468766720	769702230	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Who attacked you?  @YDanasmithdutra @Margaretherapy @Meeeech_L	CAMI	xoCAMILLAxo
395233414107762688	967033308	Tue Oct 29 16:59:23 +0000 2013	395231471666884608	52230962	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Now we're getting somewhere! @WebAntOnYT @Rowanes @Meeeech_L @CTarian @ddombrowsky @MountainMole @912gauge	CAMI	xoCAMILLAxo
395238439265648641	967033308	Tue Oct 29 17:19:21 +0000 2013	395238265990549504	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...what a kidder the POTUS is huh? Silly guy!    @WebAntOnYT @Rowanes @CTarian @ddombrowsky @MountainMole @912gauge @Meeeech_L	CAMI	xoCAMILLAxo
395239546259922944	221514228	Tue Oct 29 17:23:45 +0000 2013			<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>	false		Near Philly, PA, Bitch! 	RT @SmilesAvenue: #TransCrushTuesday Lea T. #Nofilter #GirlsLikeUs #NoH8 http://t.co/H9DTw2ubUS	Flirtessa Williams	Barbeydahl
395241286950584321	967033308	Tue Oct 29 17:30:40 +0000 2013	395240137455448064	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Most recently, healthcare!  @lilmsgs @WebAntOnYT @Rowanes @Meeeech_L	CAMI	xoCAMILLAxo
395242884850413568	333757493	Tue Oct 29 17:37:01 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		San Francisco	RT @tinseltwinkles: Janet Mock is gorgeous in person! And so brave. #oesummit2013 #girlslikeus http://t.co/6yYeaLuJ33	David Freed	MrDavidFreed
395245108037038080	967033308	Tue Oct 29 17:45:51 +0000 2013	395244130420285440	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	...and the funding comes from individuals AND corps through taxes!  YOU LOSE!  @lilmsgs @912gauge @Rowanes @CTarian	CAMI	xoCAMILLAxo
395247620546760704	967033308	Tue Oct 29 17:55:50 +0000 2013	395247160880427008	341330995	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	LOL!!!!    @Meeeech_L @lilmsgs @WebAntOnYT @912gauge	CAMI	xoCAMILLAxo
395252964064886785	967033308	Tue Oct 29 18:17:04 +0000 2013	395252620157132800	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Only those that wield influence over gov't!  @lilmsgs @912gauge @Rowanes @CTarian @Meeeech_L	CAMI	xoCAMILLAxo
395255136554975233	967033308	Tue Oct 29 18:25:42 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @WebAntOnYT: .@lilmsgs @912gauge @xoCAMILLAxo @Meeeech_L #SNAP is very much an entitlement or charity. No one really earns food stamps.	CAMI	xoCAMILLAxo
395257070116560896	967033308	Tue Oct 29 18:33:23 +0000 2013	395256105455992832	52230962	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Id gladly not take it if I could stop paying into it!  Would much rather invest myself!  @WebAntOnYT @lilmsgs @912gauge @Meeeech_L	CAMI	xoCAMILLAxo
395260148949585920	967033308	Tue Oct 29 18:45:37 +0000 2013	395259449251618816	707378887	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	First, Revenue and Expenditures are two different things!  @lilmsgs @912gauge @Meeeech_L	CAMI	xoCAMILLAxo
395264271984365568	1640393216	Tue Oct 29 19:02:00 +0000 2013			<a href="http://roundteam.co" rel="nofollow">RoundTeam</a>	false		The Philippines	RT @TrevorProject: To @JanetMock, living visibly as trans means she's "authentically, wholly herself." http://t.co/veqDBaBe1u #GirlsLikeUs …	Manila Pride March ®	TheManilaPride
