397175456660598784	46640973	Mon Nov 04 01:36:22 +0000 2013			<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	false		Madison, WI	Two Years on Hormones: All about Male-to-Female #HRT (physical/sexual changes) http://t.co/4oKTWXIWmI #girlslikeus	Brittyn Aeshley	AtypicalAeshe
397196759677411328	967033308	Mon Nov 04 03:01:01 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @vmpcott: EDITORIAL: #Cuccinelli for governor - Washington Times: http://t.co/JCWIH3vJEP  @washtimes  Civil Liberties on the Line in #Vi…	CAMI	xoCAMILLAxo
397197594067103745	967033308	Mon Nov 04 03:04:20 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @IngrahamAngle: "This whole (health ins) cancellation has converted a lifelong Dem into a foot soldier for the Repub Party.” http://t.co…	CAMI	xoCAMILLAxo
397199846450278400	1929992142	Mon Nov 04 03:13:17 +0000 2013	397191615691120640	195839185	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		#GirlsLikeUs	@TheRedGrrl @C4zzi Brilliant news..I read that Hitachi is no longer making them..found it on newegg at $49.99.. Great reviews :)	Stephanie P	Stephanie_Podmo
397227776639385600	967033308	Mon Nov 04 05:04:16 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @Gosellsomething: @RedNationRising @KenCuccinelli more people for the next Obama event. Great job everyone. Stick together &amp; lead the way	CAMI	xoCAMILLAxo
397230838128979968	967033308	Mon Nov 04 05:16:26 +0000 2013	397230296023588864	814055359	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Be careful what u wish for my darling!  ;-). @DailyRogue @SenTedCruz	CAMI	xoCAMILLAxo
397355497310785536	967033308	Mon Nov 04 13:31:47 +0000 2013	397355126542700545	1928376356	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	That is where I am going - San Antonio, TX.  Will be staying near the Alamo tonight!  :-). @45gvt	CAMI	xoCAMILLAxo
397373129900580865	1929992142	Mon Nov 04 14:41:51 +0000 2013	397367382139629568	358715927	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		#GirlsLikeUs	@lisasevern so true..I though it was me..that I just did not fit in. The friends being girls and everything else is like a mirror..	Stephanie P	Stephanie_Podmo
397402410416480256	967033308	Mon Nov 04 16:38:12 +0000 2013	397401551628959744	954758785	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	9:40 am. @LUDOVICOTODINI @The_AntiStatist	CAMI	xoCAMILLAxo
397424078296190976	1331300563	Mon Nov 04 18:04:18 +0000 2013			<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	false			RT @tumblesophie: Another new blog post for you delectable lovelies; http://t.co/SXR1Syt7dF #girlslikeus #blog	Tamsyn Elizabeth	Tamsyn_E
397446933264220161	26019075	Mon Nov 04 19:35:07 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		That place with the castle	RT @GenderMinefield: Very interesting reading... #trans #girlslikeus #cissexism http://t.co/jwL08W2G4x	Yes it's me	Jackieme2009
397469490222354432	967033308	Mon Nov 04 21:04:45 +0000 2013	397467912950140928	1928376356	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Are these the two who have been accused of killing 2 fishermen?  What is their status?  What really happened? @45gvt	CAMI	xoCAMILLAxo
397475890449244160	967033308	Mon Nov 04 21:30:11 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @NC_Girl69: The Obama/McAuliffe war on coal could cost Virginia 19,260 jobs. Vote @KenCuccinelli Tues Nov 5 #VAGov #tcot #NRA  http://t.…	CAMI	xoCAMILLAxo
397480235823681536	1929992142	Mon Nov 04 21:47:27 +0000 2013	397478015615373313	774717986	web	false		#GirlsLikeUs	@C4zzi We don't chose this, we have no choice. We might resist it and fight it, but you can't stop it..It's the core of who we are..	Stephanie P	Stephanie_Podmo
397491409273364480	967033308	Mon Nov 04 22:31:51 +0000 2013	397484122001510400	67138790	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Dont put it past the GOP to sabotage Conservatives in coming elections! @LJL1990 @GOP @morehouse64 @365conservative @KenCuccinelli	CAMI	xoCAMILLAxo
397505598730022912	709659618	Mon Nov 04 23:28:14 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false			RT @ZJemptv: Big ol' timeline from 2007 onwards. #trans #girlslikeus http://t.co/Tb8JhI6PGq	Because I said so	Emma51529972
