399332394492497920	53665207	Sun Nov 10 00:27:16 +0000 2013			<a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>	false		Manhattan 10040	#CONGO #Bukavu #Uvira  #Girlslikeus  Ms. Francine Moweta (née Madamu) was ferociously attacked by a gang of six ,... http://t.co/YoCwOZvSbw	Brooke Cerda	TRANSLATINAS_NY
399355190353993729	967033308	Sun Nov 10 01:57:51 +0000 2013	399354311836434432	169575793	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	Im sure it did!  But the Fed Gov't will win that fight more often than not I'm afraid!  @PeeteySDee @Dbargen @NRA @NRANews	CAMI	xoCAMILLAxo
399485008337207296	1344710419	Sun Nov 10 10:33:42 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		suffragette city 	RT @walfordpeggy: . FYI #girlslikeus transinaction is also @auntyorthodox. You have been warned. Worst troll around.	miss endora	endorathewitch
399486379760955392	1929992142	Sun Nov 10 10:39:09 +0000 2013	399366185239969793	774717986	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		#GirlsLikeUs	@C4zzi Oh..brilliant Carol, sounds like it went really well..Smile...I am so happy for you..phew...	Stephanie P	Stephanie_Podmo
399514804563365888	1929992142	Sun Nov 10 12:32:06 +0000 2013	399514432004698112	24675155	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		#GirlsLikeUs	@MissCassHoskins @SophieSp00n that is so nice to hear, great bonding time...so cute :)	Stephanie P	Stephanie_Podmo
399523801286729728	404119117	Sun Nov 10 13:07:51 +0000 2013			<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	false		San Francisco, Ca. 	RT @Lavernecox: These photos with #supermodel @TysonCBeckford and trans model @Ines_Rau are everything. #girlslikeus http://t.co/WL7m0iqiCR	Alexandria Pollock	Mama_Urssa
399548858012672000	1929992142	Sun Nov 10 14:47:25 +0000 2013	399543976468156416	774717986	web	false		#GirlsLikeUs	@C4zzi Yes, yes, great news..fingers crossed..	Stephanie P	Stephanie_Podmo
399552184259330048	1929992142	Sun Nov 10 15:00:38 +0000 2013		585789428	web	false		#GirlsLikeUs	@EntirelyAmelia did you see the new promo trailer for the Doctor Who 50th? I sent you a link..Amazing..	Stephanie P	Stephanie_Podmo
399559172150136835	1929992142	Sun Nov 10 15:28:24 +0000 2013	399558416768966656	1138086589	web	false		#GirlsLikeUs	@AHCHope @HollyMyami Had Iphones all up to the 4s, equally had all the Nexus line, ended up sticking with Nexus. Just got my Nexus5 A beast.	Stephanie P	Stephanie_Podmo
399559775886655488	1929992142	Sun Nov 10 15:30:48 +0000 2013			<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>	false		#GirlsLikeUs	RT @lilyallen: LOL, my new mates from the @JohnLewisRetail ad have their own twitters - @JohnLewis_Bear &amp; @JohnLewis_Hare  🐻🐰🎄🎅 http://t.co…	Stephanie P	Stephanie_Podmo
399568860912697345	1929992142	Sun Nov 10 16:06:54 +0000 2013	399566256765804544	584989919	web	false		#GirlsLikeUs	@Neandertalnerd @a_cognito Love it..can just picture it..	Stephanie P	Stephanie_Podmo
399572698658910208	1929992142	Sun Nov 10 16:22:09 +0000 2013			web	false		#GirlsLikeUs	guessing she might have some clues to my real gender..	Stephanie P	Stephanie_Podmo
399585537322807296	1929992142	Sun Nov 10 17:13:10 +0000 2013	399584588718428160	585789428	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		#GirlsLikeUs	@EntirelyAmelia I know, I had goose bumps while watching it...OMG so good. The play between the Doctor's looks great!	Stephanie P	Stephanie_Podmo
399597298105085952	949059464	Sun Nov 10 17:59:54 +0000 2013			web	false		Virginia	I spent several quiet hours thinking back on my childhood &amp; how I came to realize I was a girl trapped in the wrong body. #girlslikeus cont	Stephanie Michelle	CiriAntares
399642277712125952	18634831	Sun Nov 10 20:58:38 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		Chicago, IL	Introduced @SmartAssJen to my hater spray #StupidHoe by @NICKIMINAJ for her haters "Look Bubbles, go back to your habitat" #GirlsLikeUs	Angelica Ross	angelicaross
399655816979939328	1929992142	Sun Nov 10 21:52:26 +0000 2013	399654924167823361	474314181	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	false		#GirlsLikeUs	@sophiaphotos wow is all I can say...you look so much happier..	Stephanie P	Stephanie_Podmo
399682098493026304	967033308	Sun Nov 10 23:36:52 +0000 2013			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	false		#GirlsLikeUs #NRA #tgirlsrock	RT @wilkow1: More ACA casualties..where @conservtivemom works. Michaels Craft Stores..National impact. @HeidiL_RN @xoCAMILLAxo http://t.co/…	CAMI	xoCAMILLAxo
