418966212513517568	449988864	Fri Jan 03 04:45:03 +0000 2014			<a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>	0		San Francisco	Nya Ampon: Internationalizing Transpinay http://t.co/DCJ5SXoWlR #girlslikeus #lgbt #transgender	What's the T	Whatsthetfilm
419059254772105216	20425832	Fri Jan 03 10:54:46 +0000 2014			<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>	0		Phoenix	Mssrs Colbert &amp; Stewart - Mssrs Colbert &amp; Stewart - @GLAAD deliver this please. #trans #girlslikeus... http://t.co/y5Ppv3Xdls	Antonia E D'orsay	tonidorsay
419104506987945984	425409745	Fri Jan 03 13:54:35 +0000 2014			<a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>	0		Formerly Tips for Trans Men	#Transgender Medical Research and Provider Education Lacking http://t.co/EHWsRiGWqL #trans #girlslikeus #guyslikeus	Tips for Trans Folks	Tips4TransFolks
419114883599192064	351352748	Fri Jan 03 14:35:49 +0000 2014	419109205602488320	425409745	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0			“@Tips4TransFolks: TRANSMORMON - short documentary on a conservative Mormon #trans woman http://t.co/2IZZlldcUy #girlslikeus #qfaith”	the napless	Infinitegloss
419159586730295296	1373127894	Fri Jan 03 17:33:27 +0000 2014			<a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>	0		Oakland CA	RT @TransgenderTech: TransHistory Timeline - add your history! http://t.co/P01Wi8oIfx via @Tips4TransFolks #trans #girlslikeus #guyslikeus …	Trans*H4CK	TransH4CK
419159649460314113	366198672	Fri Jan 03 17:33:42 +0000 2014			web	0		Texas dammit!	hey #girlslikeus -this shit https://t.co/Uc2UuoOTlM is NOT acceptable.  And to think you really wonder how you get the rapey rapist label...	Michelle Belanger	mbelanger227
419160203280781313	2161524618	Fri Jan 03 17:35:54 +0000 2014			web	0		Place du Marché-aux-Fleurs	RT @mbelanger227: hey #girlslikeus -this shit https://t.co/Uc2UuoOTlM is NOT acceptable.  And to think you really wonder how you get the ra…	Siouxsie Sue	JanisIanCurtis
419170579904598016	2147545286	Fri Jan 03 18:17:08 +0000 2014			web	0		Pittsburgh	As an intersex &amp; transsexual woman, I extend warmest thanks to all allies &amp; comrades for your help! Make 2014 even better! &lt;3&lt;3 #girlslikeus	aeryn rebeka fulton	AerynFulton
419181887849246720	2273183538	Fri Jan 03 19:02:04 +0000 2014			<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>	0		Chicago, IL	Become a Mentor to #GirlslikeUs and #GuysLikUs seeking employment!  Visit our Facebook Page to get started! http://t.co/AYuYGpPxSG	Transworks Chicago	TLC_TransWorks
419185339639816192	130175481	Fri Jan 03 19:15:47 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		Pittsburgh, PA	RT @TLC_TransWorks: Become a Mentor to #GirlslikeUs and #GuysLikUs seeking employment!  Visit our Facebook Page to get started! http://t.co…	Pgh Trans Leadership	TransLeadership
419195175269715968	967033308	Fri Jan 03 19:54:52 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Why are we paying for this???      http://t.co/QowMVowV9r	CAMI	xoCAMILLAxo
419214791962423297	604607829	Fri Jan 03 21:12:49 +0000 2014			web	0		#GirlsLikeUs 	#ff @BiscuitAhoy such a joy! :)	Lisa Quinn	lisaquinn345
419217916626620416	366749007	Fri Jan 03 21:25:14 +0000 2014			<a href="http://sites.google.com/site/yorufukurou/" rel="nofollow">YoruFukurou</a>	0		in the construct program	RT @janetmock: Proud to share video + transcript of my remarks at the inaugural #Trans100 gala http://t.co/K21Z632V6V #trans #girlslikeus @…	Cisnormativity	cisnormativity
419232458299559936	35615783	Fri Jan 03 22:23:01 +0000 2014			web	0		North Shore, O'ahu	In a world that punishes gender nonconformity, imagine a place where this can happen - #aloha #girlslikeus @KumuHina http://t.co/QiLVSjVzzL	Joe Wilson	QwavesJoe
419240541034127360	18924291	Fri Jan 03 22:55:08 +0000 2014			<a href="http://instagram.com" rel="nofollow">Instagram</a>	0		New York City	A #selfie featuring Hawaiian humidity hair + Viva Glam. #curlygirls #girlslikeus #janetinhawaii http://t.co/WVQ7doVGg6	Janet Mock	janetmock
419243556499632128	33519167	Fri Jan 03 23:07:07 +0000 2014			web	0		Dublin, Queerland.	RT @janetmock: Proud to share video + transcript of my remarks at the inaugural #Trans100 gala http://t.co/K21Z632V6V #trans #girlslikeus @…	John O'Dwyer	MyQueerHeart
