439190139638923264	265870656	Fri Feb 28 00:07:43 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		NYC/NJ	Styling and Profiling with my Fro!! #tgirlsrock #twoc #girlslikeus http://t.co/T20eQM6rIa	The Kitty Bella Show	TweetTrina4Lyfe
439192115180879872	967033308	Fri Feb 28 00:15:34 +0000 2014	439191014905888768	60745484	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Well, again, will take my chances!  More than half this country believes in Freedom and Liberty!  @jitka @DeusExJuice @cool_bugs	CAMI	xoCAMILLAxo
439196477168943105	967033308	Fri Feb 28 00:32:54 +0000 2014	439196134506909696	60745484	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Where in this ENTIRE convo did i say ANYTHING about starting a rebellion???  @jitka @DeusExJuice @cool_bugs   LOL	CAMI	xoCAMILLAxo
439208485734334464	134150952	Fri Feb 28 01:20:37 +0000 2014	439208180904898560	134150952	web	0		⚴ #girlslikeus	@ZJemptv @keyoki ...for getting a gender recognition certificate. (I'm not sure what all that covers, but update birth cert needs it.)	Katherine Vortex	Hypatian
439209995410739200	967033308	Fri Feb 28 01:26:37 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	RT @marquisofmanga: the constitution is dumb and old @xoCAMILLAxo @jitka @cool_bugs	CAMI	xoCAMILLAxo
439210104542359552	967033308	Fri Feb 28 01:27:03 +0000 2014	439199932310769664	40189027	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Okay comrade!   @marquisofmanga @jitka @cool_bugs	CAMI	xoCAMILLAxo
439213506269691905	967033308	Fri Feb 28 01:40:34 +0000 2014	439213407229599744	967033308	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	You are an absolute moron!  @jitka @carlsbadbugkil1	CAMI	xoCAMILLAxo
439214156030283776	967033308	Fri Feb 28 01:43:09 +0000 2014	439213132548804608	60745484	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Ask your friend what he tweeted before I posted it...  which he deleted!  @jitka @carlsbadbugkil1	CAMI	xoCAMILLAxo
439218388246999040	134150952	Fri Feb 28 01:59:58 +0000 2014	439218251990851584	134150952	web	0		⚴ #girlslikeus	@EntirelyAmelia @ChelseaTera ...on, but didn't feel comfortable asking me, because I hadn't said anything, so there was this weird sense...	Katherine Vortex	Hypatian
439219470318702592	134150952	Fri Feb 28 02:04:16 +0000 2014	439218493473689600	585789428	web	0		⚴ #girlslikeus	@EntirelyAmelia That is an awesome post!	Katherine Vortex	Hypatian
439219608910696448	967033308	Fri Feb 28 02:04:49 +0000 2014	439217984049905664	60745484	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	Ok hun!  we'll see you when its time to take cover behind the arsenal!  Until then, adieu!  @jitka @gigg423 @carlsbadbugkil1	CAMI	xoCAMILLAxo
439234955882024960	455182876	Fri Feb 28 03:05:48 +0000 2014			web	0		Richmond, Virginia	RT @centertrans: Health Care plans in DC must include gender confirmation surgery #transhealth #twoc #transhistory #girlslikeus	David Robertson	101flyboy
439248650347114496	967033308	Fri Feb 28 04:00:13 +0000 2014	439248552926007296	60745484	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		#GirlsLikeUs #NRA #tgirlsrock	LOL!!!!    @jitka @Roger247 @gigg423 @oldsoldier181 @carlsbadbugkil1	CAMI	xoCAMILLAxo
