455861482857988096	2274822434	Tue Apr 15 00:13:41 +0000 2014			<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	0		Greater Toronto Area|Worldwide	RT @THELadyDane: Hearing @lavernecox makes me wanna do a pre-colonized #Goddess #shout. #loveHer #twoc #girlslikeus http://t.co/mg1BgoFnoE	QueerofGender.com	QueerofGender
455871293536358401	134150952	Tue Apr 15 00:52:40 +0000 2014	455870726088974336	634734888	web	0		⚴ #girlslikeus ⚧	@ParkerMolloy @huffpostgay @noahmichelson Sounds like a job for http://t.co/ty105asjzq, honestly. I mean, this *is* the Internet, after all.	Transfixed Katherine	Hypatian
455873549992214528	134150952	Tue Apr 15 01:01:38 +0000 2014	455873365174022144	143686967	web	0		⚴ #girlslikeus ⚧	@hypercubexl The sad thing is that image is apparently a revenge porn pic. :X This is a shitty shitty world.	Transfixed Katherine	Hypatian
455988650028072960	604607829	Tue Apr 15 08:39:00 +0000 2014	455983752473477121	24924421	web	0		#GirlsLikeUs 	@EmmaLovelace @MissCassHoskins Thanks Emma. Hope all is good with you :)	Lisa Quinn	lisaquinn345
456055444625428480	269996639	Tue Apr 15 13:04:25 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		bracknell uk	#selfie getting ready for work 💩😬👀😥❤️💋😜😝😘⭐️👍💰💶💰💶💰💶 #girlslikeus http://t.co/LWN442hTgg	⭐️✞ Sienna Amos ✞⭐️	Sienna_Tgirl
456061911952793601	134150952	Tue Apr 15 13:30:07 +0000 2014	456057705569206272	1658512837	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		⚴ #girlslikeus ⚧	@andressa_ian @AtlasSmugged Doesn't make me oppressed or anything. Just like "That's a thing? Oh. Ok, that clears things up."	Transfixed Katherine	Hypatian
456063845451440128	134150952	Tue Apr 15 13:37:48 +0000 2014	456027490256166913	826689842	<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0		⚴ #girlslikeus ⚧	@a_cognito @EntirelyAmelia I agree for myself, but I don't know how hijra see themselves. Cultural context matters.	Transfixed Katherine	Hypatian
456081159567314944	2233601972	Tue Apr 15 14:46:36 +0000 2014		2252298271	<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>	0		Washington, DC	@GeenaRocero just got around to watching ur TED talk soo inspiring &amp; moving Takes a lot of guts to stand on stage &amp; bare it all #girlslikeus	FireBreathingTGirl	FireBreathingTG
456085756692684800	134150952	Tue Apr 15 15:04:52 +0000 2014	456085413564669952	18320119	web	0		⚴ #girlslikeus ⚧	@ChelseaTera @EntirelyAmelia Maybe a closeted trans person in that "how do I *know*?!?" phase? Or wondering how they identify?	Transfixed Katherine	Hypatian
456086465689452544	134150952	Tue Apr 15 15:07:41 +0000 2014	456086415399743488	134150952	web	0		⚴ #girlslikeus ⚧	@ChelseaTera @EntirelyAmelia I mean. Being a girl? Pretty awesome.	Transfixed Katherine	Hypatian
456088247962468353	134150952	Tue Apr 15 15:14:46 +0000 2014	456087375790489600	585789428	web	0		⚴ #girlslikeus ⚧	@EntirelyAmelia @ChelseaTera @novazoey I feel more and more like this all the time. :) Have had a lot of struggles with presentation things.	Transfixed Katherine	Hypatian
456094845850095616	134150952	Tue Apr 15 15:40:59 +0000 2014			web	0		⚴ #girlslikeus ⚧	RT @jimchines: Today is the release day for Invisible, a collection of powerful personal essays on representation in SF/F.  http://t.co/6Qu…	Transfixed Katherine	Hypatian
456099887172837376	356946497	Tue Apr 15 16:01:01 +0000 2014			web	0		A.K.A Kayden Harley -TGirl Top	---&gt; http://t.co/RuubccZp79 &lt;--- Remember when @okcupid boycotted Mozilla?  @transadvocate @ParkerMolloy  @TransEquality @glaad #GirlsLikeUs	KAYHAR	iamKAYHAR
456120879680733185	1858716822	Tue Apr 15 17:24:26 +0000 2014			web	0		Hollywood	Just found out my film THE JOURNEY has won the Best Short Film Award at the Transgender Film Festival in Kiel, Germany Amazing! #girlslikeus	Kerri Cecil 	Transformed2014
456125506010628096	2340881406	Tue Apr 15 17:42:49 +0000 2014			<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>	0	[38.32669777,-122.32980716]	sacremento california 	yAY So yesterday I got told that I will be done with all surgeries by October! I love my smile now :) #girlslikeus http://t.co/IOgCA4BdFq	kelsey	kelseythebrave
456142014879236097	604607829	Tue Apr 15 18:48:25 +0000 2014	456141566919598080	346882684	web	0		#GirlsLikeUs 	@eyeslove_you Gorgeous!	Lisa Quinn	lisaquinn345
456185144924467200	134150952	Tue Apr 15 21:39:48 +0000 2014	456184541590208513	616942788	web	0		⚴ #girlslikeus ⚧	@papierhache @ZJemptv Ell. Oh. Ell. Because it's not, you know, public or anything.	Transfixed Katherine	Hypatian
456186529111887872	134150952	Tue Apr 15 21:45:18 +0000 2014	456185797868523520	5780032	web	0		⚴ #girlslikeus ⚧	@ZJemptv *blink* More significantly... "transbians"? Who *talks* like that? (I mean, besides the bug.)	Transfixed Katherine	Hypatian
456188190022328320	126714990	Tue Apr 15 21:51:54 +0000 2014			<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>	0		Philly Pansexual Cylon	Yes, Andrea James just compared "us" to autogynephilia. http://t.co/IRVHQPvmQB #girlslikeus http://t.co/ibio6Tlz44	Miss Sudo Khaleesi	miss_sudo
456206011334787073	1223782790	Tue Apr 15 23:02:43 +0000 2014			web	0		Chicago	#girlslikeus #translady #3030challenge #poem #newpost #blog http://t.co/M4SaeQK5Hx	bea cordelia	TheHuntyDropper
