twitter_id,user_id,time,reply_tweet_id,reply_user_id,source,truncated?,geotag,location,text,screen_name
175323241299189760,327581419,Thu Mar 01 20:54:52 +0000 2012,"","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",false,"",Global,"RT @GEMSGIRLS: The paperback of #GirlsLikeUs is OUT! Read the book, give a copy to a loved one, +mobilize your community to end CSEC!! h ...",MUSIC4FREEDOM
175777257829306369,406704286,Sat Mar 03 02:58:58 +0000 2012,"","",web,false,"",The City,Reading #girlsLikeUs Thankful I found @GEMSGIRLS,Jennifer Upton
175999341826277376,409802775,Sat Mar 03 17:41:27 +0000 2012,"","",web,false,"","",Starting #GirlsLikeUs in paperback! What an IMPORTANT/Powerful book. The importance of sharing our stories @GEMSGIRLS @FAIR_Girls @theIRC,sejustz
175999341826277376,409802775,Sat Mar 03 17:41:27 +0000 2012,"","",web,false,"","",Starting #GirlsLikeUs in paperback! What an IMPORTANT/Powerful book. The importance of sharing our stories @GEMSGIRLS @FAIR_Girls @theIRC,sejustz
176803238903947264,22549966,Mon Mar 05 22:55:51 +0000 2012,"",449622855,web,false,"","New York, New York","@Rachelgems2 is speaking at #CooperUnion at 6:30 tonight! Come to 7 East 7th Street, btw Third+Fourth Avenues + celebrate #GirlsLikeUs!!",GEMS
177025612790239232,449622855,Tue Mar 06 13:39:29 +0000 2012,"","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",false,"",New York,At the airport about to start first leg of 20+ city tour. Excited to take #GirlsLikeUs on the road.,rachel
179595731114524672,37280692,Tue Mar 13 15:52:13 +0000 2012,"","","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",false,"",The Real World,"RT @GEMSGIRLS: TONIGHT! Arizonans, come hear @Rachelgems2 read from #GirlsLikeUs @ChangingHands at 7pm! Free and open to the public!",SugahSugah
179604694560284672,48588867,Tue Mar 13 16:27:50 +0000 2012,"","","<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","New York, NY","RT @EmilyARupp: GO 2 THIS RT @GEMSGIRLS TONIGHT! Arizonans, come hear @Rachelgems2 read from #GirlsLikeUs @ChangingHands at 7pm! Free an ...",Project Girl Theatre
179618774650064897,22549966,Tue Mar 13 17:23:47 +0000 2012,"","",web,false,"","New York, New York","Throughout March, we are placing our members in the spectrum of women who are changing history! #GirlsLikeUs http://t.co/rPlvj27j",GEMS
179618904895787008,22549966,Tue Mar 13 17:24:18 +0000 2012,"","",web,false,"","New York, New York","Throughout March, we are placing our members in the spectrum of women who are making history! #GirlsLikeUs http://t.co/rPlvj27j",GEMS
180320838292221952,22549966,Thu Mar 15 15:53:32 +0000 2012,"","",web,false,"","New York, New York",Celebrate Women's History Month by checking out our members' amazing accomplishments! #GirlsLikeUs Making History! http://t.co/rPlvj27j,GEMS
180347665219989504,17179870,Thu Mar 15 17:40:08 +0000 2012,"","",web,false,"","L.A. and NYC, mostly","RT @GEMSGIRLS: By popular demand, we're posting the #GirlsLikeUs book tour! March events are posted; following months will be too! http: ...",The Sexy Feminist
180768949233922048,307663919,Fri Mar 16 21:34:10 +0000 2012,"","","<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",false,"","",When Alexis and I just mess around and Jam out to t swift in photo digital. &gt; :) #girlslikeus,Karly Stowell
181554295139860482,216358323,Mon Mar 19 01:34:51 +0000 2012,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,""," Hackensack NJ,  ",RT @MsKia22: Yes! RT @Blossomdance22: These girls are so worth it! #Girlslikeus,Miss Tanya CEO
182829887608983553,22549966,Thu Mar 22 14:03:36 +0000 2012,182823014851817472,136776119,web,false,"","New York, New York",@buriedinprint Thanks so much for your support and for shouting out our Founder and ED @rachelgems2's memoir! #GirlsLikeUs,GEMS
184676044375195649,24480242,Tue Mar 27 16:19:34 +0000 2012,"","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",false,"",New York ,RT @janetmock: Please sign & RT this women's rights petition in support of #transgender beauty queen Jenna Talackova & #girlslikeus: htt ...,Jesse Tauber
